ticker,source,text,published_at,trading_day
HAL,gdelt,Few U . S . shale firms can withstand prolonged oil price war,20200316T134500Z,2020-03-16
HAL,gdelt,America Oil Boom Feels More Like Bust in the Shale Patch,20200213T133000Z,2020-02-13
HAL,gdelt,America oil boom feels more like bust in the shale patch,20200213T143000Z,2020-02-13
HAL,gdelt,America oil boom feels more like bust in the shale patch - San Antonio Express - News,20200213T143000Z,2020-02-13
CVX,gdelt,"Hess , ConocoPhillips , and Chevron Stocks Are So Cheap , Theyre Worth Buying",20200320T184500Z,2020-03-21
COP,gdelt,"Hess , ConocoPhillips , and Chevron Stocks Are So Cheap , Theyre Worth Buying",20200320T184500Z,2020-03-21
COP,gdelt,North American oil companies slash spending to cope with bbl crude,20200310T184500Z,2020-03-11
COP,gdelt,North American oil companies ready more cuts to cope with bbl oil,20200310T183000Z,2020-03-11
COP,gdelt,WRAPUP 3 - N . American oil companies ready more cuts to cope with bbl oil,20200310T181500Z,2020-03-11
XOM,gdelt,"Why Chevron , Exxon , and ConocoPhillips All Fell by Double Digits in February",20200305T140000Z,2020-03-05
CVX,gdelt,"Why Chevron , Exxon , and ConocoPhillips All Fell by Double Digits in February",20200305T140000Z,2020-03-05
COP,gdelt,"Why Chevron , Exxon , and ConocoPhillips All Fell by Double Digits in February",20200305T140000Z,2020-03-05
COP,gdelt,N . American oil companies slash spending to cope with bbl crude,20200310T200000Z,2020-03-11
CVX,gdelt,Chevron offering American workers buyouts to trim staffing,20200302T220000Z,2020-03-03
XOM,gdelt,"BUZZ - U . S . STOCKS ON THE MOVE - Harmony Gold , CVS Health , Royal Caribbean Cruises , Morgan Stanley , Exxon Mobil",20200224T160000Z,2020-02-25
HAL,gdelt,America oil boom feels more like bust in the shale patch - Midland Reporter - Telegram,20200213T150000Z,2020-02-13
CVX,gdelt,Chevron offering U . S . workers buyouts to trim staffing sources,20200302T200000Z,2020-03-03
COP,gdelt,How to cope with oil producers ready more cuts,20200310T154500Z,2020-03-10
HAL,gdelt,Few U . S . Shale Firms Can Withstand Prolonged Oil Price War,20200316T064500Z,2020-03-16
HAL,gdelt,ANALYSIS - Few U . S . shale firms can withstand prolonged oil price war,20200316T130000Z,2020-03-16
HAL,gdelt,Few U . S . shale firms can withstand prolonged oil price war,20200317T010000Z,2020-03-17
HAL,gdelt,Few U . S . shale firms can withstand prolonged oil price war One America News Network,20200316T094500Z,2020-03-16
CVX,gdelt,Chevron offering U . S . workers buyouts to trim staffing - sources,20200302T193000Z,2020-03-03
HAL,gdelt,Few U . S . shale firms can withstand prolonged oil price war News NewsTalk 610 AM 103 . 9 FM KDAL,20200316T054500Z,2020-03-16
CVX,gdelt,Chevron offering US workers buyouts to trim staffing sources,20200302T200000Z,2020-03-03
CVX,gdelt,U . S . grants Chevron another three months for Venezuela operations,20200118T174500Z,2020-01-19
XOM,gdelt,"Exxon , Chevron earnings bring worries about oil prices to the forefront",20200127T200000Z,2020-01-28
CVX,gdelt,"Exxon , Chevron earnings bring worries about oil prices to the forefront",20200127T200000Z,2020-01-28
CVX,gdelt,U . S . grants Chevron another three months for Venezuela operations,20200120T033000Z,2020-01-20
COP,gdelt,How to cope with oil - producers ready more cuts,20200310T160000Z,2020-03-11
HAL,gdelt,America oil boom feels more like bust in the shale patch,20200213T210000Z,2020-02-14
CVX,gdelt,UPDATE 1 - U . S . grants Chevron another three months for Venezuela operations,20200118T163000Z,2020-01-19
XOM,gdelt,"BUZZ - U . S . STOCKS ON THE MOVE - Kroger , Royal Caribbean Cruises , Co - Diagnostics , Exxon Mobil",20200305T193000Z,2020-03-06
CVX,gdelt,UPDATE 2 - U . S . grants Chevron another three months for Venezuela operations,20200118T180000Z,2020-01-19
COP,gdelt,Former Anadarko Petroleum CEO Al Walker Joins ConocoPhillips Board,20200306T184500Z,2020-03-07
XOM,gdelt,Exxon Mobil and Other Energy Stocks Getting Hammered by Coronavirus Spread NYSE XOM,20200224T220000Z,2020-02-25
COP,gdelt,Drilling Down ConocoPhillips ready for major round of drilling in Eagle Ford Shale,20200203T063000Z,2020-02-03
HAL,gdelt,Drilling Down ConocoPhillips ready for major round of drilling in Eagle Ford Shale,20200203T063000Z,2020-02-03
COP,gdelt,Drilling Down ConocoPhillips ready for major round of drilling in Eagle Ford Shale,20200204T014500Z,2020-02-04
HAL,gdelt,Drilling Down ConocoPhillips ready for major round of drilling in Eagle Ford Shale,20200204T014500Z,2020-02-04
HAL,gdelt,"Few US Shale Producers Can Withstand Prolonged Oil Price War , Analysts Say",20200316T183000Z,2020-03-17
HAL,gdelt,U . S . shale industry braces for pain as budget cuts run deeper,20200325T094500Z,2020-03-25
XOM,gdelt,Drilling Down Exxon Mobil aims to keep dominant status in Texas shale,20200127T103000Z,2020-01-27
HAL,gdelt,Drilling Down Exxon Mobil aims to keep dominant status in Texas shale,20200127T103000Z,2020-01-27
HAL,gdelt,Halliburton takes . 2 - billion charge on slumping shale activity,20200121T144500Z,2020-01-21
HAL,gdelt,Halliburton takes . 2 billion charge on shale slump,20200121T163000Z,2020-01-22
HAL,gdelt,Halliburton takes . 2bn charge on shale slump - Newspaper,20200122T040000Z,2020-01-22
CVX,gdelt,U . S . extends license for Chevron operations in Venezuela,20200118T143000Z,2020-01-18
XOM,gdelt,Exxon taps brakes on Permian Basin after virus hammers oil,20200305T154500Z,2020-03-05
XOM,gdelt,Exxon taps brakes on Permian Basin after virus hammers oil,20200305T184500Z,2020-03-06
XOM,gdelt,Drilling Down Exxon Mobil aims to keep dominant status in Texas shale,20200127T181500Z,2020-01-28
HAL,gdelt,Drilling Down Exxon Mobil aims to keep dominant status in Texas shale,20200127T181500Z,2020-01-28
HAL,gdelt,Halliburton takes . 2 billion charge on shale slump,20200121T144500Z,2020-01-21
CVX,gdelt,U . S . extends license for Chevron operations in Venezuela,20200118T160000Z,2020-01-19
HAL,gdelt,Halliburton takes US . 2 billion charge on shale slump,20200121T143000Z,2020-01-21
CVX,gdelt,Chevron Reportedly Offering US Workers Buyouts To Trim Staffing,20200302T214500Z,2020-03-03
HAL,gdelt,Halliburton takes . 2 billion charge on shale slump - Netscape Money Business,20200121T143000Z,2020-01-21
HAL,gdelt,Halliburton takes . 2 billion charge on shale slump Reuters Business,20200122T030000Z,2020-01-22
SLB,gdelt,Schlumberger to Pare U . S . Operations -- WSJ,20200118T101500Z,2020-01-18
OXY,gdelt,Warren Buffett Could Save Occidental Petroleum . But Would He ?,20200311T174500Z,2020-03-12
HAL,gdelt,Halliburton Facing An Uncertain Future In North America,20200123T201500Z,2020-01-24
CVX,gdelt,"ConocoPhillips NYSE COP , Chevron Corporation NYSE CVX - Oil Volatility Has Driven Demand In The Only 3X US Oil Exchange Traded Products",20200526T200000Z,2020-05-27
COP,gdelt,"ConocoPhillips NYSE COP , Chevron Corporation NYSE CVX - Oil Volatility Has Driven Demand In The Only 3X US Oil Exchange Traded Products",20200526T200000Z,2020-05-27
CVX,gdelt,Chevron Effectively Barred From Producing Oil in Venezu ...,20200422T060000Z,2020-04-22
HAL,gdelt,Halliburton Shuts Venezuela Work as Trump Steps Up Pressure,20200424T163000Z,2020-04-25
CVX,gdelt,Chevron barred from producing oil in Venezuela,20200422T194500Z,2020-04-23
CVX,gdelt,Chevron Effectively Barred From Producing Oil in Venezuela,20200422T060000Z,2020-04-22
CVX,gdelt,Chevron effectively barred from producing oil in Venezuela,20200422T213000Z,2020-04-23
HAL,gdelt,"ATTENTION WELLS FARGO CUSTOMERS WITH OIL GAS INVESTMENTS RECOMMENDED BY THEIR FINANCIAL ADVISOR - KlaymanToskes Commences Investigation on Behalf of Investors Who Sustained Losses in Excess of , 000",20200424T170000Z,2020-04-25
HAL,gdelt,"ATTENTION MORGAN STANLEY CUSTOMERS WITH OIL GAS INVESTMENTS RECOMMENDED BY THEIR FINANCIAL ADVISOR - KlaymanToskes Commences Investigation on Behalf of Investors Who Sustained Losses in Excess of , 000",20200424T170000Z,2020-04-25
HAL,gdelt,"ATTENTION MERRILL LYNCH CUSTOMERS WITH OIL GAS INVESTMENTS RECOMMENDED BY THEIR FINANCIAL ADVISOR - KlaymanToskes Commences Investigation on Behalf of Investors Who Sustained Losses in Excess of , 000",20200424T170000Z,2020-04-25
HAL,gdelt,"ATTENTION UBS CUSTOMERS WITH OIL GAS INVESTMENTS RECOMMENDED BY THEIR FINANCIAL ADVISOR - KlaymanToskes Commences Investigation on Behalf of Investors Who Sustained Losses in Excess of , 000",20200424T170000Z,2020-04-25
XOM,gdelt,"Exxon Mobil Corporation NYSE XOM , Plug Power , Inc . NASDAQ PLUG - Cramer Gives His Opinion On Exxon , Polaris And More",20200410T131500Z,2020-04-10
CVX,gdelt,Chevron Effectively Barred From Producing Oil In Venezuela,20200421T234500Z,2020-04-22
SLB,gdelt,Houston Schlumberger location furloughs employees and cuts executive salaries,20200409T091500Z,2020-04-09
CVX,gdelt,Chevron Banned From Producing Oil in Venezuela,20200422T173000Z,2020-04-23
XOM,gdelt,"Chevron , Exxon Mobil stocks decline to pace the Dow losers as oil prices sell off",20200522T141500Z,2020-05-22
CVX,gdelt,"Chevron , Exxon Mobil stocks decline to pace the Dow losers as oil prices sell off",20200522T141500Z,2020-05-22
HAL,gdelt,Goldman Sachs Has Its Top Oil Stocks to Buy Ahead of a Second - Half Recovery,20200502T130000Z,2020-05-02
CVX,gdelt,U . S . halts Chevron in Venezuela with end to sanctions waivers,20200422T153000Z,2020-04-22
HAL,gdelt,U . S . halts Chevron in Venezuela with end to sanctions waivers,20200422T153000Z,2020-04-22
XOM,gdelt,"Sell Exxon Stock Ahead of Earnings , Buy Chevron ConocoPhillips , Says Goldman",20200701T144500Z,2020-07-01
CVX,gdelt,"Sell Exxon Stock Ahead of Earnings , Buy Chevron ConocoPhillips , Says Goldman",20200701T144500Z,2020-07-01
COP,gdelt,"Sell Exxon Stock Ahead of Earnings , Buy Chevron ConocoPhillips , Says Goldman",20200701T144500Z,2020-07-01
XOM,gdelt,"Sell Exxon Stock Ahead of Earnings , Buy Chevron ConocoPhillips , Says Goldman",20200701T161500Z,2020-07-02
CVX,gdelt,"Sell Exxon Stock Ahead of Earnings , Buy Chevron ConocoPhillips , Says Goldman",20200701T161500Z,2020-07-02
COP,gdelt,"Sell Exxon Stock Ahead of Earnings , Buy Chevron ConocoPhillips , Says Goldman",20200701T161500Z,2020-07-02
HAL,gdelt,Halliburton HAL Halts Most Work in Venezuela Over Sanction,20200429T031500Z,2020-04-29
HAL,gdelt,"Oil Gas Stock Roundup Halliburton Lowers Dividend , National Oilwell Stops Paying",20200527T124500Z,2020-05-27
CVX,gdelt,Halliburton follows Chevron in halting Venezuelan operations,20200427T021500Z,2020-04-27
HAL,gdelt,Halliburton follows Chevron in halting Venezuelan operations,20200427T021500Z,2020-04-27
XOM,gdelt,Is It Time to Buy Exxon Mobil Stock Yet ?,20200407T184500Z,2020-04-08
HAL,gdelt,Shale Cutbacks to Fall on Weakest Drillers as Glut Drowns Market,20200408T153000Z,2020-04-08
XOM,gdelt,"If You Want Oil , XOM Stock Is One of the Better Bets",20200407T130000Z,2020-04-07
HAL,gdelt,Shale Cuts to Fall on Smaller Drillers as Glut Crushes Market,20200408T173000Z,2020-04-09
COP,gdelt,"ConocoPhillips cuts production as it posts loss , falling revenues",20200430T154500Z,2020-04-30
COP,gdelt,"ConocoPhillips cuts production as it posts loss , falling revenues",20200430T160000Z,2020-05-01
CVX,gdelt,Chevron 7 Dividend Yield With A Potential 20 Upside,20200402T184500Z,2020-04-03
XOM,gdelt,Exxon Mobil opposes Texas production cuts letter,20200409T001500Z,2020-04-09
HAL,gdelt,"Shale Oil Market 2020 by Technology , Opportunity Analysis and Industry Forecasts 2024",20200413T044500Z,2020-04-13
COP,gdelt,"ConocoPhillips cuts U . S . oil output by 30 , largest so far",20200417T083000Z,2020-04-17
CVX,gdelt,"Chevron Corporation NYSE CVX , Occidental Petroleum Corporation NYSE OXY - PreMarket Prep Stock Of The Day Chevron Corporation",20200420T210000Z,2020-04-21
OXY,gdelt,"Chevron Corporation NYSE CVX , Occidental Petroleum Corporation NYSE OXY - PreMarket Prep Stock Of The Day Chevron Corporation",20200420T210000Z,2020-04-21
CVX,gdelt,Halliburton follows Chevron in halting Venezuelan operations,20200424T173000Z,2020-04-25
HAL,gdelt,Halliburton follows Chevron in halting Venezuelan operations,20200424T173000Z,2020-04-25
HAL,gdelt,Halliburton Will Shut Down Its Primary Operation in Venezuela,20200426T010000Z,2020-04-26
XOM,gdelt,"Why Oil Producers Chevron , Exxon , and Occidental Rocketed Higher in April",20200505T200000Z,2020-05-06
CVX,gdelt,"Why Oil Producers Chevron , Exxon , and Occidental Rocketed Higher in April",20200505T200000Z,2020-05-06
OXY,gdelt,"Why Oil Producers Chevron , Exxon , and Occidental Rocketed Higher in April",20200505T200000Z,2020-05-06
HAL,gdelt,Demand decline hits hardest among smaller U . S . shale drillers,20200409T160000Z,2020-04-10
COP,gdelt,"CORRECTED - UPDATE 4 - ConocoPhillips cuts U . S . oil output by 30 , largest so far",20200416T220000Z,2020-04-17
CVX,gdelt,"Chevron Corporation NYSE CVX , Halliburton Company NYSE HAL - Should The Oil Industry Get Bailed Out ?",20200427T210000Z,2020-04-28
HAL,gdelt,"Chevron Corporation NYSE CVX , Halliburton Company NYSE HAL - Should The Oil Industry Get Bailed Out ?",20200427T210000Z,2020-04-28
CVX,gdelt,Chevron to cut up to 15 of staff amid restructuring,20200528T064500Z,2020-05-28
HAL,gdelt,Shale cutbacks to fall on weakest drillers as glut drowns market,20200408T224500Z,2020-04-09
XOM,gdelt,"D . C . sues Exxon , BP , Shell , Chevron over climate",20200626T064500Z,2020-06-26
CVX,gdelt,"D . C . sues Exxon , BP , Shell , Chevron over climate",20200626T064500Z,2020-06-26
COP,gdelt,"Deep Production Cuts , Oil Industry Turmoil To Shave Off 45 From ConocoPhillip 2020 Revenues",20200504T113000Z,2020-05-04
CVX,gdelt,Exclusive Chevron to cut up to 15 of staff amid restructuring,20200528T051500Z,2020-05-28
XOM,gdelt,"Forget Schlumberger , ExxonMobil Is a Better Dividend Stock",20200418T180000Z,2020-04-19
SLB,gdelt,"Forget Schlumberger , ExxonMobil Is a Better Dividend Stock",20200418T180000Z,2020-04-19
HAL,gdelt,"U . S . Oil Gas Infrastructure Market Opportunities , Current Trends , Market Challenges and Industry Analysis By 2024",20200422T144500Z,2020-04-22
XOM,gdelt,"Qatar to Invite Exxon , Chevron , Conoco for gas JV talks NYSE XOM",20200522T004500Z,2020-05-22
CVX,gdelt,"Qatar to Invite Exxon , Chevron , Conoco for gas JV talks NYSE XOM",20200522T004500Z,2020-05-22
COP,gdelt,"Qatar to Invite Exxon , Chevron , Conoco for gas JV talks NYSE XOM",20200522T004500Z,2020-05-22
EOG,gdelt,"Oil Prices Jump On China Data , EOG Earnings Ahead Investor Business Daily",20200507T193000Z,2020-05-08
CVX,gdelt,Trump orders Chevron to halt oil production in Venezuela,20200422T173000Z,2020-04-23
HAL,gdelt,Trump orders Chevron to halt oil production in Venezuela,20200422T173000Z,2020-04-23
CVX,gdelt,Trump tells Chevron to,20200422T023000Z,2020-04-22
XOM,gdelt,"Exxon Mobil Resists Write - Downs as Oil , Gas Prices Plummet",20200630T131500Z,2020-06-30
CVX,gdelt,Trump tells Chevron to wind down oil fields in Venezuela,20200422T054500Z,2020-04-22
XOM,gdelt,"GOLDMAN SACHS 10 oil stocks investors should buy , avoid Exxon",20200831T183000Z,2020-09-01
XOM,gdelt,"Salaries for workers at BP , Exxon , Shell , Chevron , other oil giants",20200805T154500Z,2020-08-05
CVX,gdelt,"Salaries for workers at BP , Exxon , Shell , Chevron , other oil giants",20200805T154500Z,2020-08-05
XOM,gdelt,"Big Oil salaries revealed How much BP , Exxon , and 5 other oil giants pay their workers , from engineers to geoscientists",20200806T070000Z,2020-08-06
CVX,gdelt,"UPDATE 1 - Chevron bln deal for Noble ends deal drought , sets price benchmark - Agricultural Commodities",20200721T181500Z,2020-07-22
CVX,gdelt,Chevron Billion Deal for Noble Ends Deal Drought,20200721T224500Z,2020-07-22
SLB,gdelt,"Carbon Capture And Storage Ccs Market Future Prospects 2026 Sasol , Fluor , Halliburton , Aker Clean Carbon , Schlumberger , Total Gameatu",20200731T181500Z,2020-08-01
HAL,gdelt,"Carbon Capture And Storage Ccs Market Future Prospects 2026 Sasol , Fluor , Halliburton , Aker Clean Carbon , Schlumberger , Total Gameatu",20200731T181500Z,2020-08-01
XOM,gdelt,"Exxon Stock , Chevron Fall As Stalling Oil Recovery Forces Tough Choices",20200730T193000Z,2020-07-31
CVX,gdelt,"Exxon Stock , Chevron Fall As Stalling Oil Recovery Forces Tough Choices",20200730T193000Z,2020-07-31
CVX,gdelt,"Chevron billion deal for Noble ends deal drought , sets price benchmark",20200721T214500Z,2020-07-22
XOM,gdelt,"ConocoPhillips NYSE COP , Chevron Corporation NYSE CVX - SunTrust Likes Chevron , ConocoPhillips , Neutral On Exxon",20200725T153000Z,2020-07-25
CVX,gdelt,"ConocoPhillips NYSE COP , Chevron Corporation NYSE CVX - SunTrust Likes Chevron , ConocoPhillips , Neutral On Exxon",20200725T153000Z,2020-07-25
COP,gdelt,"ConocoPhillips NYSE COP , Chevron Corporation NYSE CVX - SunTrust Likes Chevron , ConocoPhillips , Neutral On Exxon",20200725T153000Z,2020-07-25
DVN,gdelt,"Stocks making the biggest moves midday IBM , Coca - Cola , Wells Fargo , Devon Energy and more",20200721T164500Z,2020-07-22
XOM,gdelt,Insiders and leaked audio reveal new details of job cuts at Exxon,20200731T154500Z,2020-07-31
HAL,gdelt,"Global Shale Oil Market Challenges and Risk Factors by 2029Continental Resources , Concho Resources , Hess corporation",20200914T124500Z,2020-09-14
CVX,gdelt,"Chevron bln deal for Noble ends deal drought , sets price benchmark - Agricultural Commodities",20200721T150000Z,2020-07-21
CVX,gdelt,Chevron - billion deal for Noble ends oil industry deal drought,20200721T123000Z,2020-07-21
CVX,gdelt,"Chevron billion deal for Noble ends deal drought , sets price benchmark Reuters Business",20200721T130000Z,2020-07-21
CVX,gdelt,"Chevron billion deal for Noble ends deal drought , sets price benchmark",20200721T120000Z,2020-07-21
XOM,gdelt,Goldman Sachs 10 Reasons To Sell ExxonMobil Now,20200831T174500Z,2020-09-01
SLB,gdelt,Schlumberger sheds US shale,20200904T183000Z,2020-09-05
HAL,gdelt,Schlumberger sheds US shale,20200904T183000Z,2020-09-05
XOM,gdelt,Exxon Departure From Dow Highlights Market Retreat From Energy Bets,20200825T230000Z,2020-08-26
MPC,gdelt,Top U . S . oil refiner Marathon Petroleum to lay off 12 of workforce,20200930T230000Z,2020-10-01
MPC,gdelt,Top US oil refiner Marathon Petroleum to lay off 12per cent of workforce,20200930T213000Z,2020-10-01
XOM,gdelt,Here Why Big Oil Stocks Such As Chevron And Exxon Are Still Risky,20200708T114500Z,2020-07-08
CVX,gdelt,Here Why Big Oil Stocks Such As Chevron And Exxon Are Still Risky,20200708T114500Z,2020-07-08
CVX,gdelt,Stock Markets Get an Energy Boost on Crude Oil Gains Chevron - Noble Merger Points to More Deals Ahead,20200721T173000Z,2020-07-22
CVX,gdelt,"Stirring in the oil patch , Chevron buys Noble for billion",20200721T004500Z,2020-07-21
CVX,gdelt,"Stirring in the oil patch , Chevron buys Noble for billion",20200720T140000Z,2020-07-20
CVX,gdelt,"Stirring in the oil patch , Chevron buys Noble for US billion",20200720T140000Z,2020-07-20
XOM,gdelt,ExxonMobil And Chevron Post Record Losses In Oil Price Rout,20200731T163000Z,2020-08-01
CVX,gdelt,ExxonMobil And Chevron Post Record Losses In Oil Price Rout,20200731T163000Z,2020-08-01
CVX,gdelt,"Stirring in the oil patch , Chevron buys Noble for billion - Business News",20200720T153000Z,2020-07-20
CVX,gdelt,"Stirring in the oil patch , Chevron buys Noble for billion - Business News",20200720T181500Z,2020-07-21
HAL,gdelt,"Technavio Research Insights on the Global Asphalt Market 2020 - 2024 COVID - 19 Analysis , Drivers , Restraints , Opportunities and Threats",20200813T180000Z,2020-08-14
SLB,gdelt,"Schlumberger Cuts 21 , 000 Jobs Amid Historic Oil Downturn Update",20200724T144500Z,2020-07-24
CVX,gdelt,Chevron buys Noble Energy for billion in big energy sector deal,20200720T173000Z,2020-07-21
CVX,gdelt,Chevron buys Noble for US billion,20200720T170000Z,2020-07-21
CVX,gdelt,Chevron swoop on Noble Energy is first deal of the downturn,20200720T180000Z,2020-07-21
CVX,gdelt,Chevron Buys Noble for Billion,20200720T174500Z,2020-07-21
XOM,gdelt,"A billion asset manager dumps Exxon Mobile , Chevron over climate policy",20200824T081500Z,2020-08-24
CVX,gdelt,"A billion asset manager dumps Exxon Mobile , Chevron over climate policy",20200824T081500Z,2020-08-24
CVX,gdelt,"Stirring in the oilpatch , Chevron buys Noble Energy for",20200720T171500Z,2020-07-21
XOM,gdelt,"A asset manager dumps Exxon , Chevron on climate",20200824T100000Z,2020-08-24
CVX,gdelt,"A asset manager dumps Exxon , Chevron on climate",20200824T100000Z,2020-08-24
CVX,gdelt,Chevron to acquire Noble Energy for billion,20200721T140000Z,2020-07-21
HAL,gdelt,"U . S . shale producers , slammed by oil price crash , seen posting worst quarter since 2016",20200728T184500Z,2020-07-29
XOM,gdelt,"A Billion Asset Manager Dumps Exxon , Chevron on Climate",20200824T071500Z,2020-08-24
CVX,gdelt,"A Billion Asset Manager Dumps Exxon , Chevron on Climate",20200824T071500Z,2020-08-24
CVX,gdelt,Chevron to Buy Noble Energy in First Big Energy Deal of the Pandemic Era,20200720T144500Z,2020-07-20
SLB,gdelt,Schlumberger Asset Sale Could be the Start of Oilfield Services Rationalization,20200903T080000Z,2020-09-03
XOM,gdelt,"A Billion Asset Manager Dumps Exxon , Chevron on Climate",20200827T064500Z,2020-08-27
CVX,gdelt,"A Billion Asset Manager Dumps Exxon , Chevron on Climate",20200827T064500Z,2020-08-27
XOM,gdelt,Exxon vs Chevron Which Is The Smartest Buy ?,20200708T214500Z,2020-07-09
CVX,gdelt,Exxon vs Chevron Which Is The Smartest Buy ?,20200708T214500Z,2020-07-09
COP,gdelt,"Forget Occidental Petroleum , ConocoPhillips Is a Better Oil Producer Stock to Buy Right Now",20200705T213000Z,2020-07-06
OXY,gdelt,"Forget Occidental Petroleum , ConocoPhillips Is a Better Oil Producer Stock to Buy Right Now",20200705T213000Z,2020-07-06
CVX,gdelt,Chevron Posts Its Worst Loss in Decades With More Pain to Come,20200731T120000Z,2020-07-31
HAL,gdelt,Drilling Down French oil major Total has big plans in Barnett Shale,20200807T141500Z,2020-08-07
SLB,gdelt,"Schlumberger Stock Has Tumbled , but Director Mark Papa Just Scooped Up Shares",20200807T120000Z,2020-08-07
